"","Client ID","RM ID","Birth year_Client","Sex_Client","Wealth_Client","Country_Client","Satisfaction and loyalty_Client","Costumer profile","Frequency of Communication","Knowledge and experience_Client","Birth year_RM","Sex_RM","Years of employment_RM","Nationality_RM","Trustworthiness","Fitting transactions rate","Salary","Amount","Date","Liquidity","Volume","Fitting transaction","Fitting asset class","Fitting geography","Riskyness"
"1","10.127.222.106",4299490436,1966,1,10151582.23,"Syria",4,5,33,3,1951,0,22,"Italy",1,0.67,903496,20303.16446,"9/26/2023",5,26922257908.55,1,0,1,3
"2","10.127.222.106",4299490436,1966,1,10151582.23,"Syria",4,5,33,3,1951,0,22,"Italy",1,0.67,903496,2558198.72196,"9/25/2023",2,21966169172.32,1,1,0,2
"3","10.127.222.106",4299490436,1966,1,10151582.23,"Syria",4,5,33,3,1951,0,22,"Italy",1,0.67,903496,2284106.00175,"3/20/2024",1,728727423.9,1,1,1,4
"4","10.127.222.106",4299490436,1966,1,10151582.23,"Syria",4,5,33,3,1951,0,22,"Italy",1,0.67,903496,3806843.33625,"12/17/2023",1,10114537054.94,0,1,1,5
"5","10.127.222.106",4299490436,1966,1,10151582.23,"Syria",4,5,33,3,1951,0,22,"Italy",1,0.67,903496,2091225.93938,"45272",3,11610962736.83,1,0,0,2
"6","10.127.222.106",4299490436,1966,1,10151582.23,"Syria",4,5,33,3,1951,0,22,"Italy",1,0.67,903496,91364.24007,"10/16/2023",1,5336606519.12,0,0,1,2
"7","10.127.222.106",4299490436,1966,1,10151582.23,"Syria",4,5,33,3,1951,0,22,"Italy",1,0.67,903496,477124.36481,"7/27/2024",5,4399908383.21,0,1,1,2
"8","10.127.222.106",4299490436,1966,1,10151582.23,"Syria",4,5,33,3,1951,0,22,"Italy",1,0.67,903496,964400.31185,"45294",3,15585101212.1,0,0,1,2
"9","10.174.144.89",5723473999,1941,1,39008226.53,"China",3,3,45,1,1984,1,8,"Switzerland",5,0.65,96728,3276691.02852,"6/26/2024",2,14152334076.92,1,0,1,4
"10","10.174.144.89",5723473999,1941,1,39008226.53,"China",3,3,45,1,1984,1,8,"Switzerland",5,0.65,96728,8698834.51619,"5/29/2024",3,28913066587.51,1,0,1,5
"11","10.174.144.89",5723473999,1941,1,39008226.53,"China",3,3,45,1,1984,1,8,"Switzerland",5,0.65,96728,6436357.37745,"45541",3,3739590262.09,0,0,0,3
"12","10.174.144.89",5723473999,1941,1,39008226.53,"China",3,3,45,1,1984,1,8,"Switzerland",5,0.65,96728,1599337.28773,"11/18/2023",3,8254264321.21,0,1,0,1
"13","10.174.144.89",5723473999,1941,1,39008226.53,"China",3,3,45,1,1984,1,8,"Switzerland",5,0.65,96728,11039328.10799,"1/23/2024",4,15820515359.97,0,0,0,2
"14","10.174.144.89",5723473999,1941,1,39008226.53,"China",3,3,45,1,1984,1,8,"Switzerland",5,0.65,96728,17358660.80585,"1/30/2024",2,6079260591.33,0,0,1,2
