Client ID,RM ID,Birth year_Client,Sex_Client,Wealth_Client,Country_Client,Satisfaction and loyalty_Client,Costumer profile,Frequency of Communication,Knowledge and experience_Client,Birth year_RM,Sex_RM,Years of employment_RM,Nationality_RM,Trustworthiness,Fitting transactions rate,Salary,Amount,Date,Liquidity,Volume,Fitting transaction,Fitting asset class,Fitting geography,Riskyness
10.127.222.106,4299490436,1966,M,10151582.23,Syria,4,5,33,3,1951,F,22,Italy,1,0.67,903496,20303.16446,9/26/2023,5,26922257909,1,0,1,3
10.127.222.106,4299490436,1966,M,10151582.23,Syria,4,5,33,3,1951,F,22,Italy,1,0.67,903496,2558198.722,9/25/2023,2,21966169172,1,1,0,2
10.127.222.106,4299490436,1966,M,10151582.23,Syria,4,5,33,3,1951,F,22,Italy,1,0.67,903496,2284106.002,3/20/2024,1,728727423.9,1,1,1,4
10.127.222.106,4299490436,1966,M,10151582.23,Syria,4,5,33,3,1951,F,22,Italy,1,0.67,903496,3806843.336,12/17/2023,1,10114537055,0,1,1,5
10.127.222.106,4299490436,1966,M,10151582.23,Syria,4,5,33,3,1951,F,22,Italy,1,0.67,903496,2091225.939,45272,3,11610962737,1,0,0,2
10.127.222.106,4299490436,1966,M,10151582.23,Syria,4,5,33,3,1951,F,22,Italy,1,0.67,903496,91364.24007,10/16/2023,1,5336606519,0,0,1,2
10.127.222.106,4299490436,1966,M,10151582.23,Syria,4,5,33,3,1951,F,22,Italy,1,0.67,903496,477124.3648,7/27/2024,5,4399908383,0,1,1,2
10.127.222.106,4299490436,1966,M,10151582.23,Syria,4,5,33,3,1951,F,22,Italy,1,0.67,903496,964400.3119,45294,3,15585101212,0,0,1,2
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,3276691.029,6/26/2024,2,14152334077,1,0,1,4
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,8698834.516,5/29/2024,3,28913066588,1,0,1,5
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,6436357.377,45541,3,3739590262,0,0,0,3
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,1599337.288,11/18/2023,3,8254264321,0,1,0,1
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,11039328.11,1/23/2024,4,15820515360,0,0,0,2
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,17358660.81,1/30/2024,2,6079260591,0,0,1,2
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,2067436.006,6/20/2024,3,6845247988,0,1,0,1
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,10571229.39,1/23/2024,3,19345158636,1,1,1,5
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,9244949.688,10/19/2023,4,7631176432,0,0,0,5
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,16266430.46,2/13/2024,3,9258706516,1,0,0,5
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,7216521.908,45633,4,24696217531,1,1,1,1
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,4095863.786,2/17/2024,4,3304472725,1,1,0,5
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,18762956.96,44938,4,17753256366,1,0,0,2
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,16032381.1,45358,3,10513926334,1,1,1,4
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,12872714.75,45604,4,24663250016,1,1,1,2
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,1170246.796,2/18/2024,3,24015856277,1,1,0,3
10.174.144.89,5723473999,1941,M,39008226.53,China,3,3,45,1,1984,M,8,Switzerland,5,0.65,96728,19387088.59,12/28/2023,2,15323694557,1,1,1,1
10.240.67.177,3882510188,1976,F,111919759.4,Indonesia,5,2,50,4,1975,F,6,Switzerland,2,0.8,273742,671518.5565,9/21/2023,5,25235948790,0,1,0,4
10.240.67.177,3882510188,1976,F,111919759.4,Indonesia,5,2,50,4,1975,F,6,Switzerland,2,0.8,273742,26860742.26,45327,5,18698603465,1,0,0,2
10.240.67.177,3882510188,1976,F,111919759.4,Indonesia,5,2,50,4,1975,F,6,Switzerland,2,0.8,273742,38612317,2/18/2024,3,29430198844,0,1,0,3
10.240.67.177,3882510188,1976,F,111919759.4,Indonesia,5,2,50,4,1975,F,6,Switzerland,2,0.8,273742,51595009.09,11/27/2023,2,10154334105,0,0,0,1
10.240.67.177,3882510188,1976,F,111919759.4,Indonesia,5,2,50,4,1975,F,6,Switzerland,2,0.8,273742,42417588.82,45210,1,748757108.2,1,1,1,1
10.240.67.177,3882510188,1976,F,111919759.4,Indonesia,5,2,50,4,1975,F,6,Switzerland,2,0.8,273742,39171915.8,5/14/2024,5,15318772021,1,1,0,1
10.240.67.177,3882510188,1976,F,111919759.4,Indonesia,5,2,50,4,1975,F,6,Switzerland,2,0.8,273742,46782459.44,6/28/2024,2,25107876366,0,1,1,5
